id,runtime_id,arrival_day,days_taken,pending,sink_type
1253,3640,731.0416667,182.98,no,Partlyallow
1254,3641,731.1881944,125.89,no,AllowAppeal
1255,3642,732.0416667,115.02,no,Dismiss
1257,3644,733.0416667,42.09,no,judgementExparte
1258,3645,733.1881944,21.88,no,Dismiss
1259,3646,734.0416667,149.00,no,Dismiss
1260,3647,734.1881944,99.84,no,judgementExparte
1261,3648,735.0416667,155.04,no,Remand
1262,3649,735.1881944,23.90,no,Dismiss
1263,3650,736.0416667,1.98,no,Reject
1265,3652,738.0416667,0.96,no,Reject
1266,3653,738.1881944,122.92,no,Dismiss
1267,3654,739.0416667,1.96,no,DefaultDismiss
1268,3655,739.1881944,48.81,no,Dismiss
1269,3656,740.0416667,133.00,no,Remand
1270,3657,740.1881944,110.91,no,Partlyallow
1271,3658,741.0416667,1.99,no,Dismiss
1272,3659,741.1881944,118.84,no,Partlyallow
1273,3660,742.0416667,39.98,no,DefaultDismiss
1274,3661,742.1881944,82.89,no,judgementExparte
1275,3662,743.0416667,121.19,no,AllowAppeal
1276,3663,743.1881944,116.09,no,Remand
1277,3664,745.0416667,163.00,no,Dismiss
1278,3665,745.1881944,136.03,no,Remand
1279,3666,746.0416667,46.26,no,Dismiss
1280,3667,746.1881944,3.81,no,DefaultDismiss
1282,3669,747.1881944,50.84,no,Dismiss
1283,3670,748.0416667,132.28,no,Remand
1284,3671,748.1881944,4.06,no,Dismiss
1285,3672,749.0416667,131.05,no,Dismiss
1286,3673,749.1881944,62.81,no,Dismiss
1287,3674,750.0416667,136.99,no,AllowAppeal
1288,3675,750.1881944,135.82,no,Remand
1289,3676,752.0416667,145.01,no,AllowAppeal
1290,3677,752.1881944,3.94,no,Dismiss
1291,3678,753.0416667,139.98,no,AllowAppeal
1292,3679,753.1881944,17.84,no,Dismiss
1293,3680,754.0416667,212.30,no,judgementExparte
1294,3681,754.1881944,132.81,no,Dismiss
1295,3682,755.0416667,124.06,no,Dismiss
1296,3683,755.1881944,127.87,no,AllowAppeal
1297,3684,756.0416667,140.04,no,Remand
1298,3685,756.1881944,97.88,no,judgementExparte
1299,3686,757.0416667,130.99,no,Dismiss
1300,3687,757.1881944,3.88,no,Dismiss
1301,3688,759.0416667,148.98,no,Partlyallow
1302,3689,759.1881944,18.89,no,Dismiss
1303,3690,760.0416667,139.07,no,Dismiss
1304,3691,760.1881944,141.86,no,AllowAppeal
1305,3692,761.0416667,135.23,no,Dismiss
1306,3693,761.1881944,135.95,no,Partlyallow
1307,3694,762.0416667,144.09,no,Dismiss
1308,3695,762.1881944,138.83,no,Remand
1309,3696,763.0416667,45.02,no,Dismiss
1310,3697,763.1881944,137.81,no,Dismiss
1311,3698,764.0416667,40.06,no,Dismiss
1312,3699,764.1881944,135.86,no,AllowAppeal
1313,3700,766.0416667,18.16,no,Dismiss
1314,3701,766.1881944,4.00,no,Dismiss
1315,3702,767.0416667,141.97,no,Remand
1317,3704,768.0416667,124.08,no,AllowAppeal
1318,3705,768.1881944,135.86,no,Dismiss
1319,3706,769.0416667,3.96,no,Dismiss
1320,3707,769.1881944,104.90,no,Dismiss
1321,3708,770.0416667,3.17,no,Dismiss
1322,3709,770.1881944,2.91,no,Dismiss
1323,3710,771.0416667,2.96,no,DefaultDismiss
1324,3711,771.1881944,148.94,no,Dismiss
1325,3712,773.0416667,58.06,no,Dismiss
1326,3713,773.1881944,126.04,no,Dismiss
1328,3715,774.1881944,143.15,no,Remand
1329,3716,775.0416667,29.12,no,DefaultDismiss
1330,3717,775.1881944,142.84,no,Partlyallow
1331,3718,776.0416667,2.01,no,Dismiss
1332,3719,776.1881944,3.89,no,Dismiss
1333,3720,777.0416667,243.12,no,judgementExparte
1334,3721,777.1881944,18.84,no,Dismiss
1335,3722,778.0416667,0.30,no,Reject
1336,3723,778.1881944,264.87,no,judgementExparte
1337,3724,780.0416667,134.98,no,AllowAppeal
1338,3725,780.1881944,21.81,no,DefaultDismiss
1339,3726,781.0416667,125.04,no,AllowAppeal
1340,3727,781.1881944,12.91,no,Dismiss
1342,3729,782.1881944,2.81,no,DefaultDismiss
1343,3730,783.0416667,42.97,no,judgementExparte
1344,3731,783.1881944,164.86,no,judgementExparte
1345,3732,784.0416667,124.23,no,Dismiss
1346,3733,784.1881944,275.84,no,judgementExparte
1347,3734,785.0416667,0.27,no,Reject
1348,3735,785.1881944,40.85,no,judgementExparte
1349,3736,787.0416667,123.15,no,AllowAppeal
1350,3737,787.1881944,130.92,no,AllowAppeal
1351,3738,788.0416667,127.01,no,Remand
1352,3739,788.1881944,48.16,no,Dismiss
1353,3740,789.0416667,121.00,no,Dismiss
1354,3741,789.1881944,124.83,no,Dismiss
1355,3742,790.0416667,0.27,no,Reject
1356,3743,790.1881944,49.88,no,judgementExparte
1357,3744,791.0416667,57.11,no,judgementExparte
1358,3745,791.1881944,125.87,no,Remand
1359,3746,792.0416667,130.01,no,Remand
1360,3747,792.1881944,54.01,no,DefaultDismiss
1361,3748,794.0416667,142.97,no,Partlyallow
1363,3750,795.0416667,17.01,no,Dismiss
1364,3751,795.1881944,49.81,no,Dismiss
1365,3752,796.0416667,134.05,no,Dismiss
1366,3753,796.1881944,21.81,no,DefaultDismiss
1367,3754,797.0416667,132.15,no,Partlyallow
1368,3755,797.1881944,127.17,no,Remand
1369,3756,798.0416667,87.11,no,judgementExparte
1370,3757,798.1881944,1.03,no,Reject
1372,3759,799.1881944,1.91,no,Reject
1373,3760,801.0416667,3.98,no,Dismiss
1374,3761,801.1881944,114.84,no,Dismiss
1375,3762,802.0416667,132.11,no,AllowAppeal
1376,3763,802.1881944,149.85,no,Remand
1377,3764,803.0416667,37.96,no,Dismiss
1378,3765,803.1881944,130.86,no,AllowAppeal
1379,3766,804.0416667,58.03,no,Dismiss
1380,3767,804.1881944,3.90,no,Dismiss
1381,3768,805.0416667,3.11,no,Dismiss
1382,3769,805.1881944,2.88,no,Dismiss
1383,3770,806.0416667,139.28,no,Dismiss
1384,3771,806.1881944,124.02,no,Remand
1385,3772,808.0416667,42.03,no,Dismiss
1386,3773,808.1881944,4.85,no,Dismiss
1387,3774,809.0416667,130.16,no,Dismiss
1388,3775,809.1881944,132.87,no,Remand
1389,3776,810.0416667,138.08,no,Remand
1390,3777,810.1881944,110.11,no,Dismiss
1391,3778,811.0416667,130.98,no,AllowAppeal
1392,3779,811.1881944,17.81,no,DefaultDismiss
1393,3780,812.0416667,139.08,no,Partlyallow
1394,3781,812.1881944,9.96,no,Dismiss
1395,3782,813.0416667,142.08,no,Dismiss
1396,3783,813.1881944,146.89,no,Remand
1397,3784,815.0416667,2.24,no,DefaultDismiss
1398,3785,815.1881944,148.82,no,Partlyallow
1399,3786,816.0416667,18.05,no,Dismiss
1400,3787,816.1881944,0.94,no,Reject
1401,3788,817.0416667,125.31,no,Partlyallow
1402,3789,817.1881944,11.90,no,Dismiss
1403,3790,818.0416667,119.03,no,Dismiss
1404,3791,818.1881944,244.03,no,judgementExparte
1405,3792,819.0416667,33.96,no,DefaultDismiss
1406,3793,819.1881944,254.89,no,judgementExparte
1407,3794,820.0416667,107.07,no,Dismiss
1408,3795,820.1881944,5.86,no,Dismiss
1409,3796,822.0416667,141.22,no,AllowAppeal
1410,3797,822.1881944,146.96,no,Dismiss
1411,3798,823.0416667,146.98,no,AllowAppeal
1412,3799,823.1881944,127.86,no,Remand
1413,3800,824.0416667,135.03,no,AllowAppeal
1414,3801,824.1881944,42.85,no,judgementExparte
1415,3802,825.0416667,155.00,no,judgementExparte
1416,3803,825.1881944,188.95,no,DefaultDismiss
1417,3804,826.0416667,19.97,no,Dismiss
1418,3805,826.1881944,129.06,no,Remand
1419,3806,827.0416667,0.26,no,Reject
1420,3807,827.1881944,141.90,no,AllowAppeal
1421,3808,829.0416667,147.03,no,Dismiss
1422,3809,829.1881944,136.12,no,AllowAppeal
1423,3810,830.0416667,137.02,no,Remand
1424,3811,830.1881944,139.87,no,Partlyallow
1425,3812,831.0416667,19.07,no,Dismiss
1426,3813,831.1881944,35.85,no,Dismiss
1427,3814,832.0416667,128.00,no,AllowAppeal
1428,3815,832.1881944,147.86,no,AllowAppeal
1429,3816,833.0416667,0.30,no,Reject
1430,3817,833.1881944,130.92,no,Dismiss
1431,3818,834.0416667,5.05,no,Dismiss
1432,3819,834.1881944,3.84,no,Dismiss
1433,3820,836.0416667,19.18,no,Dismiss
1434,3821,836.1881944,36.10,no,Dismiss
1435,3822,837.0416667,40.99,no,Dismiss
1436,3823,837.1881944,152.96,no,judgementExparte
1437,3824,838.0416667,117.08,no,Dismiss
1438,3825,838.1881944,0.89,no,Reject
1439,3826,839.0416667,154.03,no,Dismiss
1440,3827,839.1881944,3.87,no,Dismiss
1442,3829,840.1881944,133.12,no,Dismiss
1443,3830,841.0416667,32.96,no,DefaultDismiss
1444,3831,841.1881944,219.89,no,judgementExparte
1445,3832,843.0416667,2.96,no,DefaultDismiss
1446,3833,843.1881944,3.93,no,Dismiss
1447,3834,844.0416667,3.22,no,Dismiss
1448,3835,844.1881944,134.84,no,Remand
1449,3836,845.0416667,161.12,no,Dismiss
1450,3837,845.1881944,42.83,no,Dismiss
1451,3838,846.0416667,141.09,no,Dismiss
1452,3839,846.1881944,122.93,no,Dismiss
1453,3840,847.0416667,260.02,no,judgementExparte
1454,3841,847.1881944,120.03,no,Remand
1455,3842,848.0416667,52.96,no,DefaultDismiss
1456,3843,848.1881944,4.15,no,Dismiss
1457,3844,850.0416667,36.02,no,DefaultDismiss
1458,3845,850.1881944,55.85,no,DefaultDismiss
1459,3846,851.0416667,2.00,no,Dismiss
1460,3847,851.1881944,20.85,no,Dismiss
1461,3848,852.0416667,140.09,no,Partlyallow
1462,3849,852.1881944,131.03,no,Dismiss
1463,3850,853.0416667,123.01,no,Remand
1464,3851,853.1881944,20.81,no,DefaultDismiss
1465,3852,854.0416667,144.01,no,Remand
1466,3853,854.1881944,144.87,no,Dismiss
1467,3854,855.0416667,152.00,no,Dismiss
1468,3855,855.1881944,155.91,no,AllowAppeal
1469,3856,857.0416667,4.06,no,Dismiss
1470,3857,857.1881944,44.16,no,judgementExparte
1471,3858,858.0416667,37.96,no,Dismiss
1472,3859,858.1881944,152.88,no,Partlyallow
1473,3860,859.0416667,126.08,no,AllowAppeal
1474,3861,859.1881944,2.86,no,Dismiss
1475,3862,860.0416667,153.01,no,AllowAppeal
1476,3863,860.1881944,115.87,no,Dismiss
1477,3864,861.0416667,120.04,no,AllowAppeal
1478,3865,861.1881944,97.14,no,judgementExparte
1479,3866,862.0416667,121.08,no,AllowAppeal
1480,3867,862.1881944,90.83,no,judgementExparte
1481,3868,864.0416667,140.98,no,Remand
1482,3869,864.1881944,10.85,no,Dismiss
1483,3870,865.0416667,12.99,no,DefaultDismiss
1484,3871,865.1881944,131.91,no,Dismiss
1486,3873,866.1881944,123.86,no,Partlyallow
1488,3875,867.1881944,110.84,no,Dismiss
1489,3876,868.0416667,17.03,no,Dismiss
1490,3877,868.1881944,2.90,no,Dismiss
1491,3878,869.0416667,121.01,no,Partlyallow
1492,3879,869.1881944,152.03,no,Partlyallow
1493,3880,871.0416667,130.96,no,Partlyallow
1494,3881,871.1881944,0.90,no,Reject
1495,3882,872.0416667,142.05,no,Remand
1496,3883,872.1881944,49.84,no,Dismiss
1497,3884,873.0416667,5.05,no,Dismiss
1498,3885,873.1881944,121.86,no,Dismiss
1499,3886,874.0416667,4.03,no,Dismiss
1500,3887,874.1881944,119.89,no,Partlyallow
1501,3888,875.0416667,3.05,no,Dismiss
1502,3889,875.1881944,3.84,no,Dismiss
1503,3890,876.0416667,128.99,no,Dismiss
1504,3891,876.1881944,121.02,no,Partlyallow
1505,3892,878.0416667,0.99,no,Reject
1506,3893,878.1881944,2.83,no,Dismiss
1507,3894,879.0416667,47.99,no,Dismiss
1508,3895,879.1881944,135.84,no,Dismiss
1509,3896,880.0416667,48.98,no,Dismiss
1510,3897,880.1881944,249.93,no,judgementExparte
1511,3898,881.0416667,20.00,no,Dismiss
1512,3899,881.1881944,185.87,no,Dismiss
1513,3900,882.0416667,88.99,no,judgementExparte
1514,3901,882.1881944,144.86,no,Dismiss
1515,3902,883.0416667,118.01,no,Dismiss
1516,3903,883.1881944,36.87,no,Dismiss
1517,3904,885.0416667,134.01,no,Partlyallow
1518,3905,885.1881944,1.09,no,Reject
1520,3907,886.1881944,131.85,no,Remand
1521,3908,887.0416667,5.11,no,Dismiss
1522,3909,887.1881944,102.91,no,Dismiss
1523,3910,888.0416667,0.28,no,Reject
1524,3911,888.1881944,4.08,no,DefaultDismiss
1525,3912,889.0416667,0.28,no,Reject
1526,3913,889.1881944,46.89,no,Dismiss
1527,3914,890.0416667,122.01,no,Dismiss
1528,3915,890.1881944,46.10,no,Dismiss
1529,3916,892.0416667,17.02,no,Dismiss
1530,3917,892.1881944,13.90,no,Dismiss
1531,3918,893.0416667,140.00,no,Dismiss
1532,3919,893.1881944,150.90,no,Dismiss
1533,3920,894.0416667,3.04,no,Dismiss
1534,3921,894.1881944,132.84,no,AllowAppeal
1535,3922,895.0416667,144.12,no,AllowAppeal
1536,3923,895.1881944,90.88,no,Dismiss
1537,3924,896.0416667,123.99,no,Remand
1538,3925,896.1881944,131.87,no,Dismiss
1539,3926,897.0416667,47.04,no,DefaultDismiss
1540,3927,897.1881944,4.85,no,Dismiss
1541,3928,899.0416667,113.26,no,Partlyallow
1542,3929,899.1881944,3.91,no,Dismiss
1543,3930,900.0416667,153.18,no,Partlyallow
1544,3931,900.1881944,2.92,no,Dismiss
1545,3932,901.0416667,135.00,no,Dismiss
1546,3933,901.1881944,146.14,no,Remand
1547,3934,902.0416667,0.30,no,Reject
1548,3935,902.1881944,125.95,no,Dismiss
1549,3936,903.0416667,3.08,no,Dismiss
1550,3937,903.1881944,40.86,no,Dismiss
1551,3938,904.0416667,2.05,no,Dismiss
1554,3941,906.1881944,50.83,no,Dismiss
1555,3942,907.0416667,2.97,no,Dismiss
1556,3943,907.1881944,120.88,no,Dismiss
1557,3944,908.0416667,2.96,no,DefaultDismiss
1558,3945,908.1881944,4.94,no,Dismiss
1559,3946,909.0416667,118.05,no,Remand
1560,3947,909.1881944,124.17,no,Partlyallow
1561,3948,910.0416667,3.08,no,Dismiss
1562,3949,910.1881944,31.84,no,DefaultDismiss
1563,3950,911.0416667,5.02,no,Dismiss
1564,3951,911.1881944,50.85,no,Dismiss
1565,3952,913.0416667,3.96,no,DefaultDismiss
1566,3953,913.1881944,44.88,no,Dismiss
1567,3954,914.0416667,239.04,no,judgementExparte
1568,3955,914.1881944,20.84,no,Dismiss
1569,3956,915.0416667,0.28,no,Reject
1570,3957,915.1881944,119.97,no,AllowAppeal
1571,3958,916.0416667,112.22,no,judgementExparte
1572,3959,916.1881944,3.92,no,Dismiss
1573,3960,917.0416667,102.02,no,judgementExparte
1574,3961,917.1881944,76.86,no,Dismiss
1575,3962,918.0416667,185.19,no,Dismiss
1576,3963,918.1881944,4.87,no,Dismiss
1577,3964,920.0416667,143.99,no,Remand
1578,3965,920.1881944,130.11,no,Remand
1579,3966,921.0416667,4.01,no,Dismiss
1580,3967,921.1881944,243.83,no,judgementExparte
1581,3968,922.0416667,129.17,no,Partlyallow
1582,3969,922.1881944,0.92,no,Reject
1583,3970,923.0416667,0.26,no,Reject
1584,3971,923.1881944,137.84,no,Dismiss
1585,3972,924.0416667,0.27,no,Reject
1586,3973,924.1881944,148.11,no,AllowAppeal
1587,3974,925.0416667,132.00,no,AllowAppeal
1588,3975,925.1881944,145.16,no,Dismiss
1589,3976,927.0416667,116.23,no,Remand
1590,3977,927.1881944,136.87,no,AllowAppeal
1591,3978,928.0416667,0.98,no,Reject
1592,3979,928.1881944,0.94,no,Reject
1593,3980,929.0416667,2.99,no,Dismiss
1594,3981,929.1881944,103.83,no,judgementExparte
1595,3982,930.0416667,0.27,no,Reject
1596,3983,930.1881944,150.83,no,Remand
1597,3984,931.0416667,10.20,no,Dismiss
1598,3985,931.1881944,100.89,no,judgementExparte
1599,3986,932.0416667,142.22,no,Remand
1600,3987,932.1881944,149.86,no,Dismiss
1601,3988,934.0416667,127.05,no,AllowAppeal
1602,3989,934.1881944,189.92,no,judgementExparte
1603,3990,935.0416667,121.31,no,Dismiss
1604,3991,935.1881944,37.97,no,Dismiss
1605,3992,936.0416667,127.06,no,Dismiss
1606,3993,936.1881944,4.95,no,Dismiss
1607,3994,937.0416667,21.96,no,DefaultDismiss
1608,3995,937.1881944,1.03,no,Reject
1609,3996,938.0416667,1.09,no,Reject
1610,3997,938.1881944,140.84,no,Dismiss
1611,3998,939.0416667,2.04,no,Reject
1612,3999,939.1881944,3.81,no,DefaultDismiss
1613,4000,941.0416667,120.99,no,Dismiss
1614,4001,941.1881944,142.93,no,Partlyallow
1615,4002,942.0416667,0.24,no,Reject
1616,4003,942.1881944,68.89,no,Dismiss
1617,4004,943.0416667,3.03,no,Dismiss
1618,4005,943.1881944,156.98,no,Partlyallow
1619,4006,944.0416667,150.98,no,Remand
1620,4007,944.1881944,152.85,no,Remand
1621,4008,945.0416667,147.19,no,Dismiss
1622,4009,945.1881944,110.93,no,Dismiss
1623,4010,946.0416667,118.99,no,Partlyallow
1624,4011,946.1881944,113.93,no,Dismiss
1625,4012,948.0416667,155.23,no,AllowAppeal
1626,4013,948.1881944,146.94,no,Dismiss
1627,4014,949.0416667,3.06,no,Dismiss
1628,4015,949.1881944,132.84,no,AllowAppeal
1629,4016,950.0416667,96.27,no,judgementExparte
1630,4017,950.1881944,2.84,no,Dismiss
1631,4018,951.0416667,160.08,no,Dismiss
1632,4019,951.1881944,0.91,no,Reject
1633,4020,952.0416667,136.30,no,AllowAppeal
1634,4021,952.1881944,143.88,no,Remand
1635,4022,953.0416667,123.29,no,AllowAppeal
1636,4023,953.1881944,163.85,no,Dismiss
1639,4026,956.0416667,132.99,no,judgementExparte
1640,4027,956.1881944,0.89,no,Reject
1642,4029,957.1881944,138.83,no,Remand
1644,4031,958.1881944,129.93,no,Dismiss
1645,4032,959.0416667,3.07,no,Dismiss
1646,4033,959.1881944,128.91,no,AllowAppeal
1647,4034,960.0416667,166.98,no,Dismiss
1648,4035,960.1881944,142.84,no,Partlyallow
1650,4037,962.1881944,116.11,no,Partlyallow
1651,4038,963.0416667,132.02,no,Remand
1652,4039,963.1881944,3.87,no,Dismiss
1653,4040,964.0416667,157.22,no,AllowAppeal
1654,4041,964.1881944,127.13,no,Dismiss
1655,4042,965.0416667,4.07,no,Dismiss
1656,4043,965.1881944,17.91,no,Dismiss
1657,4044,966.0416667,3.07,no,Dismiss
1658,4045,966.1881944,41.87,no,DefaultDismiss
1659,4046,967.0416667,19.07,no,Dismiss
1660,4047,967.1881944,80.85,no,judgementExparte
1661,4048,969.0416667,0.28,no,Reject
1662,4049,969.1881944,158.83,no,Partlyallow
1663,4050,970.0416667,140.01,no,Dismiss
1664,4051,970.1881944,138.87,no,Partlyallow
1665,4052,971.0416667,12.06,no,Dismiss
1666,4053,971.1881944,47.83,no,judgementExparte
1667,4054,972.0416667,151.98,no,AllowAppeal
1668,4055,972.1881944,129.88,no,Partlyallow
1669,4056,973.0416667,108.99,no,Dismiss
1670,4057,973.1881944,114.94,no,AllowAppeal
1671,4058,974.0416667,140.01,no,AllowAppeal
1672,4059,974.1881944,16.84,no,Dismiss
1673,4060,976.0416667,101.05,no,Dismiss
1674,4061,976.1881944,146.94,no,AllowAppeal
1675,4062,977.0416667,94.04,no,judgementExparte
1676,4063,977.1881944,132.11,no,Dismiss
1677,4064,978.0416667,145.11,no,Remand
1678,4065,978.1881944,82.92,no,judgementExparte
1679,4066,979.0416667,133.09,no,Dismiss
1680,4067,979.1881944,143.84,no,Remand
1681,4068,980.0416667,143.98,no,Partlyallow
1682,4069,980.1881944,131.94,no,Dismiss
1683,4070,981.0416667,1.96,no,Reject
1684,4071,981.1881944,4.84,no,Dismiss
1685,4072,983.0416667,126.10,no,Remand
1686,4073,983.1881944,3.83,no,Dismiss
1687,4074,984.0416667,20.04,no,Dismiss
1688,4075,984.1881944,40.85,no,Dismiss
1689,4076,985.0416667,60.99,no,Dismiss
1690,4077,985.1881944,0.95,no,Reject
1691,4078,986.0416667,4.08,no,Dismiss
1692,4079,986.1881944,120.08,no,Remand
1694,4081,987.1881944,0.94,no,Reject
1695,4082,988.0416667,48.12,no,Dismiss
1696,4083,988.1881944,3.97,no,Dismiss
1697,4084,990.0416667,126.11,no,Dismiss
1698,4085,990.1881944,120.14,no,Dismiss
1699,4086,991.0416667,132.04,no,Remand
1701,4088,992.0416667,2.08,no,Dismiss
1702,4089,992.1881944,41.84,no,Dismiss
1703,4090,993.0416667,35.98,no,DefaultDismiss
1704,4091,993.1881944,50.88,no,Dismiss
1706,4093,994.1881944,0.84,no,Reject
1707,4094,995.0416667,0.30,no,Reject
1708,4095,995.1881944,129.84,no,AllowAppeal
1709,4096,997.0416667,0.30,no,Reject
1710,4097,997.1881944,114.84,no,Remand
1711,4098,998.0416667,126.01,no,Partlyallow
1712,4099,998.1881944,131.96,no,Dismiss
1713,4100,999.0416667,31.05,no,Dismiss
1714,4101,999.1881944,140.82,no,AllowAppeal
1715,4102,1000.041667,4.01,no,Dismiss
1716,4103,1000.188194,3.89,no,Dismiss
1717,4104,1001.041667,136.99,no,Dismiss
1718,4105,1001.188194,136.11,no,Dismiss
1719,4106,1002.041667,112.30,no,Dismiss
1720,4107,1002.188194,128.89,no,Dismiss
1721,4108,1004.041667,32.98,no,Dismiss
1723,4110,1005.041667,93.12,no,judgementExparte
1724,4111,1005.188194,139.84,no,Dismiss
1725,4112,1006.041667,139.25,no,Partlyallow
1726,4113,1006.188194,123.84,no,Partlyallow
1727,4114,1007.041667,60.05,no,Dismiss
1728,4115,1007.188194,122.90,no,AllowAppeal
1729,4116,1008.041667,117.98,no,Remand
1730,4117,1008.188194,132.88,no,Dismiss
1731,4118,1009.041667,122.02,no,Dismiss
1732,4119,1009.188194,141.96,no,Partlyallow
1733,4120,1011.041667,147.09,no,Remand
1734,4121,1011.188194,112.92,no,Remand
1735,4122,1012.041667,114.28,no,Dismiss
1736,4123,1012.188194,149.05,no,Dismiss
1737,4124,1013.041667,35.03,no,DefaultDismiss
1738,4125,1013.188194,180.85,no,Partlyallow
1739,4126,1014.041667,4.02,no,Dismiss
1741,4128,1015.041667,38.99,no,DefaultDismiss
1742,4129,1015.188194,104.90,no,Partlyallow
1743,4130,1016.041667,146.18,no,AllowAppeal
1744,4131,1016.188194,148.88,no,Partlyallow
1745,4132,1018.041667,3.19,no,Dismiss
1746,4133,1018.188194,4.81,no,DefaultDismiss
1747,4134,1019.041667,100.04,no,Dismiss
1748,4135,1019.188194,149.90,no,Dismiss
1749,4136,1020.041667,121.01,no,AllowAppeal
1750,4137,1020.188194,159.89,no,Partlyallow
1752,4139,1021.188194,22.89,no,Dismiss
1753,4140,1022.041667,3.04,no,Dismiss
1754,4141,1022.188194,21.81,no,DefaultDismiss
1755,4142,1023.041667,93.04,no,judgementExparte
1756,4143,1023.188194,89.87,no,judgementExparte
1757,4144,1025.041667,2.18,no,Dismiss
1758,4145,1025.188194,153.85,no,Remand
1759,4146,1026.041667,97.01,no,judgementExparte
1760,4147,1026.188194,42.09,no,judgementExparte
1761,4148,1027.041667,12.07,no,Dismiss
1762,4149,1027.188194,3.03,no,Dismiss
1763,4150,1028.041667,149.01,no,judgementExparte
1764,4151,1028.188194,166.86,no,judgementExparte
1765,4152,1029.041667,148.23,no,Dismiss
1766,4153,1029.188194,146.94,no,Remand
1767,4154,1030.041667,2.26,no,Dismiss
1768,4155,1030.188194,136.90,no,Dismiss
1769,4156,1032.041667,137.02,no,Dismiss
1770,4157,1032.188194,2.91,no,Dismiss
1771,4158,1033.041667,16.96,no,DefaultDismiss
1772,4159,1033.188194,250.87,no,judgementExparte
1773,4160,1034.041667,53.99,no,Dismiss
1774,4161,1034.188194,117.90,no,AllowAppeal
1775,4162,1035.041667,123.24,no,AllowAppeal
1776,4163,1035.188194,113.84,no,AllowAppeal
1777,4164,1036.041667,132.04,no,Partlyallow
1778,4165,1036.188194,1.11,no,Reject
1779,4166,1037.041667,4.01,no,Dismiss
1780,4167,1037.188194,155.95,no,Dismiss
1781,4168,1039.041667,126.21,no,Partlyallow
1782,4169,1039.188194,128.10,no,Remand
1783,4170,1040.041667,50.03,no,judgementExparte
1784,4171,1040.188194,169.88,no,Remand
1785,4172,1041.041667,36.96,no,Dismiss
1786,4173,1041.188194,123.88,no,Dismiss
1787,4174,1042.041667,50.02,no,Dismiss
1788,4175,1042.188194,156.14,no,judgementExparte
1790,4177,1043.188194,110.03,no,Remand
1791,4178,1044.041667,0.24,no,Reject
1792,4179,1044.188194,137.90,no,Remand
1793,4180,1046.041667,0.25,no,Reject
