id,runtime_id,arrival_day,days_taken,pending
1256,3643,732.1881944,1094.92,yes
1264,3651,736.1881944,1090.92,yes
1281,3668,747.0416667,1080.07,yes
1316,3703,767.1881944,1059.92,yes
1327,3714,774.0416667,1053.07,yes
1341,3728,782.0416667,1045.07,yes
1362,3749,794.1881944,1032.92,yes
1371,3758,799.0416667,1028.07,yes
1441,3828,840.0416667,987.07,yes
1485,3872,866.0416667,961.07,yes
1487,3874,867.0416667,960.07,yes
1519,3906,886.0416667,941.07,yes
1552,3939,904.1881944,922.92,yes
1553,3940,906.0416667,921.07,yes
1637,4024,955.0416667,872.07,yes
1638,4025,955.1881944,871.92,yes
1641,4028,957.0416667,870.07,yes
1643,4030,958.0416667,869.07,yes
1649,4036,962.0416667,865.07,yes
1693,4080,987.0416667,840.07,yes
1700,4087,991.1881944,835.92,yes
1705,4092,994.0416667,833.07,yes
1722,4109,1004.188194,822.92,yes
1740,4127,1014.188194,812.92,yes
1751,4138,1021.041667,806.07,yes
1789,4176,1043.041667,784.07,yes
1795,4182,1047.041667,780.07,yes
1796,4183,1047.188194,779.92,yes
1798,4185,1048.188194,778.92,yes
1844,4231,1075.188194,751.92,yes
1872,4259,1091.188194,735.92,yes
1895,4282,1105.041667,722.07,yes
1909,4296,1113.041667,714.07,yes
1950,4337,1137.188194,689.92,yes
1984,4371,1156.188194,670.92,yes
2004,4391,1168.188194,658.92,yes
2023,4410,1180.041667,647.07,yes
2045,4432,1193.041667,634.07,yes
2052,4439,1196.188194,630.92,yes
2072,4459,1208.188194,618.92,yes
2088,4475,1217.188194,609.92,yes
2107,4494,1229.041667,598.07,yes
2122,4509,1237.188194,589.92,yes
2151,4538,1254.041667,573.07,yes
2165,4552,1263.041667,564.07,yes
2168,4555,1264.188194,562.92,yes
2190,4577,1277.188194,549.92,yes
2195,4582,1280.041667,547.07,yes
2199,4586,1282.041667,545.07,yes
2227,4614,1299.041667,528.07,yes
2265,4652,1321.041667,506.07,yes
2266,4653,1321.188194,505.92,yes
2271,4658,1324.041667,503.07,yes
2286,4673,1333.188194,493.92,yes
2312,4699,1348.188194,478.92,yes
2316,4703,1350.188194,476.92,yes
2329,4716,1358.041667,469.07,yes
2332,4719,1359.188194,467.92,yes
2342,4729,1365.188194,461.92,yes
2354,4741,1372.188194,454.92,yes
2362,4749,1377.188194,449.92,yes
2367,4754,1380.041667,447.07,yes
2377,4764,1386.041667,441.07,yes
2384,4771,1390.188194,436.92,yes
2392,4779,1394.188194,432.92,yes
2423,4810,1413.041667,414.07,yes
2425,4812,1414.041667,413.07,yes
2436,4823,1420.188194,406.92,yes
2466,4853,1438.188194,388.92,yes
2472,4859,1441.188194,385.92,yes
2497,4884,1456.041667,371.07,yes
2518,4905,1468.188194,358.92,yes
2534,4921,1477.188194,349.92,yes
2597,4984,1515.041667,312.07,yes
2607,4994,1520.041667,307.07,yes
2626,5013,1531.188194,295.92,yes
2627,5014,1532.041667,295.07,yes
2653,5040,1547.041667,280.07,yes
2656,5043,1548.188194,278.92,yes
2665,5052,1554.041667,273.07,yes
2694,5081,1571.188194,255.92,yes
2704,5091,1576.188194,250.92,yes
2731,5118,1593.041667,234.07,yes
2737,5124,1596.041667,231.07,yes
2762,5149,1610.188194,216.92,yes
2800,5187,1632.188194,194.92,yes
2833,5220,1652.041667,175.07,yes
2836,5223,1653.188194,173.92,yes
2838,5225,1655.188194,171.92,yes
2845,5232,1659.041667,168.07,yes
2853,5240,1664.041667,163.07,yes
2866,5253,1671.188194,155.92,yes
2871,5258,1674.041667,153.07,yes
2880,5267,1679.188194,147.92,yes
2882,5269,1680.188194,146.92,yes
2887,5274,1684.041667,143.07,yes
2888,5275,1684.188194,142.92,yes
2892,5279,1686.188194,140.92,yes
2897,5284,1690.041667,137.07,yes
2906,5293,1694.188194,132.92,yes
2908,5295,1695.188194,131.92,yes
2911,5298,1698.041667,129.07,yes
2912,5299,1698.188194,128.92,yes
2913,5300,1699.041667,128.07,yes
2916,5303,1700.188194,126.92,yes
2917,5304,1701.041667,126.07,yes
2921,5308,1704.041667,123.07,yes
2923,5310,1705.041667,122.07,yes
2924,5311,1705.188194,121.92,yes
2926,5313,1706.188194,120.92,yes
2927,5314,1707.041667,120.07,yes
2930,5317,1708.188194,118.92,yes
2931,5318,1709.041667,118.07,yes
2933,5320,1711.041667,116.07,yes
2934,5321,1711.188194,115.92,yes
2936,5323,1712.188194,114.92,yes
2937,5324,1713.041667,114.07,yes
2939,5326,1714.041667,113.07,yes
2941,5328,1715.041667,112.07,yes
2943,5330,1716.041667,111.07,yes
2944,5331,1716.188194,110.92,yes
2945,5332,1718.041667,109.07,yes
2947,5334,1719.041667,108.07,yes
2948,5335,1719.188194,107.92,yes
2950,5337,1720.188194,106.92,yes
2951,5338,1721.041667,106.07,yes
2954,5341,1722.188194,104.92,yes
2956,5343,1723.188194,103.92,yes
2960,5347,1726.188194,100.92,yes
2961,5348,1727.041667,100.07,yes
2963,5350,1728.041667,99.07,yes
2965,5352,1729.041667,98.07,yes
2966,5353,1729.188194,97.92,yes
2970,5357,1732.188194,94.92,yes
2971,5358,1733.041667,94.07,yes
2972,5359,1733.188194,93.92,yes
2973,5360,1734.041667,93.07,yes
