id,runtime_id,arrival_day,days_taken,pending,sink_type
1255,3642,732.0416667,115.02,no,Dismiss
1258,3645,733.1881944,21.88,no,Dismiss
1259,3646,734.0416667,149.00,no,Dismiss
1262,3649,735.1881944,23.90,no,Dismiss
1266,3653,738.1881944,122.92,no,Dismiss
1268,3655,739.1881944,48.81,no,Dismiss
1271,3658,741.0416667,1.99,no,Dismiss
1277,3664,745.0416667,163.00,no,Dismiss
1279,3666,746.0416667,46.26,no,Dismiss
1282,3669,747.1881944,50.84,no,Dismiss
1284,3671,748.1881944,4.06,no,Dismiss
1285,3672,749.0416667,131.05,no,Dismiss
1286,3673,749.1881944,62.81,no,Dismiss
1290,3677,752.1881944,3.94,no,Dismiss
1292,3679,753.1881944,17.84,no,Dismiss
1294,3681,754.1881944,132.81,no,Dismiss
1295,3682,755.0416667,124.06,no,Dismiss
1299,3686,757.0416667,130.99,no,Dismiss
1300,3687,757.1881944,3.88,no,Dismiss
1302,3689,759.1881944,18.89,no,Dismiss
1303,3690,760.0416667,139.07,no,Dismiss
1305,3692,761.0416667,135.23,no,Dismiss
1307,3694,762.0416667,144.09,no,Dismiss
1309,3696,763.0416667,45.02,no,Dismiss
1310,3697,763.1881944,137.81,no,Dismiss
1311,3698,764.0416667,40.06,no,Dismiss
1313,3700,766.0416667,18.16,no,Dismiss
1314,3701,766.1881944,4.00,no,Dismiss
1318,3705,768.1881944,135.86,no,Dismiss
1319,3706,769.0416667,3.96,no,Dismiss
1320,3707,769.1881944,104.90,no,Dismiss
1321,3708,770.0416667,3.17,no,Dismiss
1322,3709,770.1881944,2.91,no,Dismiss
1324,3711,771.1881944,148.94,no,Dismiss
1325,3712,773.0416667,58.06,no,Dismiss
1326,3713,773.1881944,126.04,no,Dismiss
1331,3718,776.0416667,2.01,no,Dismiss
1332,3719,776.1881944,3.89,no,Dismiss
1334,3721,777.1881944,18.84,no,Dismiss
1340,3727,781.1881944,12.91,no,Dismiss
1345,3732,784.0416667,124.23,no,Dismiss
1352,3739,788.1881944,48.16,no,Dismiss
1353,3740,789.0416667,121.00,no,Dismiss
1354,3741,789.1881944,124.83,no,Dismiss
1363,3750,795.0416667,17.01,no,Dismiss
1364,3751,795.1881944,49.81,no,Dismiss
1365,3752,796.0416667,134.05,no,Dismiss
1373,3760,801.0416667,3.98,no,Dismiss
1374,3761,801.1881944,114.84,no,Dismiss
1377,3764,803.0416667,37.96,no,Dismiss
1379,3766,804.0416667,58.03,no,Dismiss
1380,3767,804.1881944,3.90,no,Dismiss
1381,3768,805.0416667,3.11,no,Dismiss
1382,3769,805.1881944,2.88,no,Dismiss
1383,3770,806.0416667,139.28,no,Dismiss
1385,3772,808.0416667,42.03,no,Dismiss
1386,3773,808.1881944,4.85,no,Dismiss
1387,3774,809.0416667,130.16,no,Dismiss
1390,3777,810.1881944,110.11,no,Dismiss
1394,3781,812.1881944,9.96,no,Dismiss
1395,3782,813.0416667,142.08,no,Dismiss
1399,3786,816.0416667,18.05,no,Dismiss
1402,3789,817.1881944,11.90,no,Dismiss
1403,3790,818.0416667,119.03,no,Dismiss
1407,3794,820.0416667,107.07,no,Dismiss
1408,3795,820.1881944,5.86,no,Dismiss
1410,3797,822.1881944,146.96,no,Dismiss
1417,3804,826.0416667,19.97,no,Dismiss
1421,3808,829.0416667,147.03,no,Dismiss
