id,runtime_id,arrival_day,days_taken,pending,sink_type
1254,3641,731.1881944,125.89,no,AllowAppeal
1275,3662,743.0416667,121.19,no,AllowAppeal
1287,3674,750.0416667,136.99,no,AllowAppeal
1289,3676,752.0416667,145.01,no,AllowAppeal
1291,3678,753.0416667,139.98,no,AllowAppeal
1296,3683,755.1881944,127.87,no,AllowAppeal
1304,3691,760.1881944,141.86,no,AllowAppeal
1312,3699,764.1881944,135.86,no,AllowAppeal
1317,3704,768.0416667,124.08,no,AllowAppeal
1337,3724,780.0416667,134.98,no,AllowAppeal
1339,3726,781.0416667,125.04,no,AllowAppeal
1349,3736,787.0416667,123.15,no,AllowAppeal
1350,3737,787.1881944,130.92,no,AllowAppeal
1375,3762,802.0416667,132.11,no,AllowAppeal
1378,3765,803.1881944,130.86,no,AllowAppeal
1391,3778,811.0416667,130.98,no,AllowAppeal
1409,3796,822.0416667,141.22,no,AllowAppeal
1411,3798,823.0416667,146.98,no,AllowAppeal
1413,3800,824.0416667,135.03,no,AllowAppeal
1420,3807,827.1881944,141.90,no,AllowAppeal
1422,3809,829.1881944,136.12,no,AllowAppeal
1427,3814,832.0416667,128.00,no,AllowAppeal
1428,3815,832.1881944,147.86,no,AllowAppeal
1468,3855,855.1881944,155.91,no,AllowAppeal
1473,3860,859.0416667,126.08,no,AllowAppeal
1475,3862,860.0416667,153.01,no,AllowAppeal
1477,3864,861.0416667,120.04,no,AllowAppeal
1479,3866,862.0416667,121.08,no,AllowAppeal
1534,3921,894.1881944,132.84,no,AllowAppeal
1535,3922,895.0416667,144.12,no,AllowAppeal
1570,3957,915.1881944,119.97,no,AllowAppeal
1586,3973,924.1881944,148.11,no,AllowAppeal
1587,3974,925.0416667,132.00,no,AllowAppeal
1590,3977,927.1881944,136.87,no,AllowAppeal
1601,3988,934.0416667,127.05,no,AllowAppeal
1625,4012,948.0416667,155.23,no,AllowAppeal
1628,4015,949.1881944,132.84,no,AllowAppeal
1633,4020,952.0416667,136.30,no,AllowAppeal
1635,4022,953.0416667,123.29,no,AllowAppeal
1646,4033,959.1881944,128.91,no,AllowAppeal
1653,4040,964.0416667,157.22,no,AllowAppeal
1667,4054,972.0416667,151.98,no,AllowAppeal
1670,4057,973.1881944,114.94,no,AllowAppeal
1671,4058,974.0416667,140.01,no,AllowAppeal
1674,4061,976.1881944,146.94,no,AllowAppeal
1708,4095,995.1881944,129.84,no,AllowAppeal
1714,4101,999.1881944,140.82,no,AllowAppeal
1728,4115,1007.188194,122.90,no,AllowAppeal
1743,4130,1016.041667,146.18,no,AllowAppeal
