id,runtime_id,arrival_day,days_taken,pending,sink_type
1267,3654,739.0416667,1.96,no,DefaultDismiss
1273,3660,742.0416667,39.98,no,DefaultDismiss
1280,3667,746.1881944,3.81,no,DefaultDismiss
1323,3710,771.0416667,2.96,no,DefaultDismiss
1329,3716,775.0416667,29.12,no,DefaultDismiss
1338,3725,780.1881944,21.81,no,DefaultDismiss
1342,3729,782.1881944,2.81,no,DefaultDismiss
1360,3747,792.1881944,54.01,no,DefaultDismiss
1366,3753,796.1881944,21.81,no,DefaultDismiss
1392,3779,811.1881944,17.81,no,DefaultDismiss
1397,3784,815.0416667,2.24,no,DefaultDismiss
1405,3792,819.0416667,33.96,no,DefaultDismiss
1416,3803,825.1881944,188.95,no,DefaultDismiss
1443,3830,841.0416667,32.96,no,DefaultDismiss
1445,3832,843.0416667,2.96,no,DefaultDismiss
1455,3842,848.0416667,52.96,no,DefaultDismiss
1457,3844,850.0416667,36.02,no,DefaultDismiss
1458,3845,850.1881944,55.85,no,DefaultDismiss
1464,3851,853.1881944,20.81,no,DefaultDismiss
1483,3870,865.0416667,12.99,no,DefaultDismiss
1524,3911,888.1881944,4.08,no,DefaultDismiss
1539,3926,897.0416667,47.04,no,DefaultDismiss
1557,3944,908.0416667,2.96,no,DefaultDismiss
1562,3949,910.1881944,31.84,no,DefaultDismiss
1565,3952,913.0416667,3.96,no,DefaultDismiss
1607,3994,937.0416667,21.96,no,DefaultDismiss
1612,3999,939.1881944,3.81,no,DefaultDismiss
1658,4045,966.1881944,41.87,no,DefaultDismiss
1703,4090,993.0416667,35.98,no,DefaultDismiss
1737,4124,1013.041667,35.03,no,DefaultDismiss
1741,4128,1015.041667,38.99,no,DefaultDismiss
1746,4133,1018.188194,4.81,no,DefaultDismiss
1754,4141,1022.188194,21.81,no,DefaultDismiss
1771,4158,1033.041667,16.96,no,DefaultDismiss
1816,4203,1058.188194,46.08,no,DefaultDismiss
1866,4253,1088.188194,17.81,no,DefaultDismiss
1882,4269,1097.188194,44.84,no,DefaultDismiss
1892,4279,1103.188194,120.84,no,DefaultDismiss
1899,4286,1107.041667,18.96,no,DefaultDismiss
1910,4297,1113.188194,46.81,no,DefaultDismiss
1931,4318,1126.041667,3.96,no,DefaultDismiss
1983,4370,1156.041667,3.96,no,DefaultDismiss
1985,4372,1158.041667,2.96,no,DefaultDismiss
1989,4376,1160.041667,42.96,no,DefaultDismiss
1990,4377,1160.188194,19.02,no,DefaultDismiss
1993,4380,1162.041667,38.09,no,DefaultDismiss
2006,4393,1169.188194,35.13,no,DefaultDismiss
2067,4454,1205.041667,4.96,no,DefaultDismiss
2070,4457,1207.188194,55.87,no,DefaultDismiss
2120,4507,1236.188194,56.81,no,DefaultDismiss
2146,4533,1251.188194,3.05,no,DefaultDismiss
2173,4560,1267.041667,171.99,no,DefaultDismiss
2175,4562,1268.041667,55.25,no,DefaultDismiss
2202,4589,1284.188194,41.82,no,DefaultDismiss
2268,4655,1322.188194,41.84,no,DefaultDismiss
2275,4662,1327.041667,40.96,no,DefaultDismiss
2280,4667,1329.188194,21.81,no,DefaultDismiss
2285,4672,1333.041667,19.24,no,DefaultDismiss
2299,4686,1341.041667,55.96,no,DefaultDismiss
2301,4688,1342.041667,16.96,no,DefaultDismiss
2306,4693,1344.188194,19.89,no,DefaultDismiss
2358,4745,1375.188194,14.00,no,DefaultDismiss
2383,4770,1390.041667,12.96,no,DefaultDismiss
2407,4794,1404.041667,2.18,no,DefaultDismiss
2412,4799,1406.188194,34.81,no,DefaultDismiss
2416,4803,1408.188194,58.81,no,DefaultDismiss
2426,4813,1414.188194,55.87,no,DefaultDismiss
2449,4836,1428.041667,2.98,no,DefaultDismiss
2483,4870,1448.041667,3.96,no,DefaultDismiss
2490,4877,1452.188194,92.95,no,DefaultDismiss
2555,4942,1490.041667,3.98,no,DefaultDismiss
2561,4948,1494.041667,13.96,no,DefaultDismiss
2572,4959,1499.188194,53.15,no,DefaultDismiss
2699,5086,1574.041667,4.01,no,DefaultDismiss
2768,5155,1614.188194,3.83,no,DefaultDismiss
2779,5166,1621.041667,19.99,no,DefaultDismiss
2787,5174,1625.041667,3.96,no,DefaultDismiss
2799,5186,1632.041667,47.15,no,DefaultDismiss
2813,5200,1641.041667,1.99,no,DefaultDismiss
2860,5247,1667.188194,21.13,no,DefaultDismiss
2876,5263,1677.188194,40.84,no,DefaultDismiss
2877,5264,1678.041667,2.22,no,DefaultDismiss
2898,5285,1690.188194,2.84,no,DefaultDismiss
2925,5312,1706.041667,18.99,no,DefaultDismiss
2946,5333,1718.188194,13.84,no,DefaultDismiss
3029,5416,1767.041667,3.28,no,DefaultDismiss
