id,runtime_id,arrival_day,days_taken,pending,sink_type
1263,3650,736.0416667,1.98,no,Reject
1265,3652,738.0416667,0.96,no,Reject
1335,3722,778.0416667,0.30,no,Reject
1347,3734,785.0416667,0.27,no,Reject
1355,3742,790.0416667,0.27,no,Reject
1370,3757,798.1881944,1.03,no,Reject
1372,3759,799.1881944,1.91,no,Reject
1400,3787,816.1881944,0.94,no,Reject
1419,3806,827.0416667,0.26,no,Reject
1429,3816,833.0416667,0.30,no,Reject
1438,3825,838.1881944,0.89,no,Reject
1494,3881,871.1881944,0.90,no,Reject
1505,3892,878.0416667,0.99,no,Reject
1518,3905,885.1881944,1.09,no,Reject
1523,3910,888.0416667,0.28,no,Reject
1525,3912,889.0416667,0.28,no,Reject
1547,3934,902.0416667,0.30,no,Reject
1569,3956,915.0416667,0.28,no,Reject
1582,3969,922.1881944,0.92,no,Reject
1583,3970,923.0416667,0.26,no,Reject
1585,3972,924.0416667,0.27,no,Reject
1591,3978,928.0416667,0.98,no,Reject
1592,3979,928.1881944,0.94,no,Reject
1595,3982,930.0416667,0.27,no,Reject
1608,3995,937.1881944,1.03,no,Reject
1609,3996,938.0416667,1.09,no,Reject
1611,3998,939.0416667,2.04,no,Reject
1615,4002,942.0416667,0.24,no,Reject
1632,4019,951.1881944,0.91,no,Reject
1640,4027,956.1881944,0.89,no,Reject
1661,4048,969.0416667,0.28,no,Reject
1683,4070,981.0416667,1.96,no,Reject
1690,4077,985.1881944,0.95,no,Reject
1694,4081,987.1881944,0.94,no,Reject
1706,4093,994.1881944,0.84,no,Reject
1707,4094,995.0416667,0.30,no,Reject
1709,4096,997.0416667,0.30,no,Reject
1778,4165,1036.188194,1.11,no,Reject
1791,4178,1044.041667,0.24,no,Reject
1793,4180,1046.041667,0.25,no,Reject
1803,4190,1051.041667,0.30,no,Reject
1818,4205,1060.188194,1.12,no,Reject
1828,4215,1065.188194,2.03,no,Reject
1831,4218,1068.041667,0.97,no,Reject
1837,4224,1071.041667,0.30,no,Reject
1838,4225,1071.188194,0.95,no,Reject
1850,4237,1078.188194,0.88,no,Reject
1878,4265,1095.188194,1.03,no,Reject
1920,4307,1119.188194,0.89,no,Reject
1929,4316,1125.041667,0.27,no,Reject
1935,4322,1128.041667,2.00,no,Reject
1946,4333,1134.188194,0.95,no,Reject
1953,4340,1139.041667,0.21,no,Reject
1970,4357,1148.188194,0.97,no,Reject
1979,4366,1154.041667,0.23,no,Reject
2000,4387,1166.188194,0.94,no,Reject
2011,4398,1173.041667,0.25,no,Reject
2019,4406,1177.041667,0.22,no,Reject
2026,4413,1181.188194,0.86,no,Reject
2060,4447,1201.188194,1.01,no,Reject
2063,4450,1203.041667,0.98,no,Reject
2066,4453,1204.188194,0.90,no,Reject
2102,4489,1225.188194,0.90,no,Reject
2118,4505,1235.188194,1.08,no,Reject
2121,4508,1237.041667,0.29,no,Reject
2125,4512,1239.041667,0.29,no,Reject
2130,4517,1242.188194,0.97,no,Reject
2138,4525,1246.188194,0.85,no,Reject
2140,4527,1247.188194,1.90,no,Reject
2144,4531,1250.188194,0.89,no,Reject
2150,4537,1253.188194,0.90,no,Reject
2155,4542,1257.041667,0.31,no,Reject
2156,4543,1257.188194,0.90,no,Reject
2160,4547,1259.188194,0.89,no,Reject
2164,4551,1261.188194,1.89,no,Reject
2167,4554,1264.041667,0.28,no,Reject
2177,4564,1270.041667,0.97,no,Reject
2180,4567,1271.188194,1.02,no,Reject
2191,4578,1278.041667,0.97,no,Reject
2226,4613,1298.188194,1.10,no,Reject
2231,4618,1301.041667,0.27,no,Reject
2241,4628,1307.041667,0.98,no,Reject
2264,4651,1320.188194,1.14,no,Reject
2272,4659,1324.188194,1.90,no,Reject
2274,4661,1326.188194,1.10,no,Reject
2288,4675,1334.188194,0.91,no,Reject
2322,4709,1354.188194,1.02,no,Reject
2330,4717,1358.188194,0.94,no,Reject
2336,4723,1362.188194,0.94,no,Reject
2359,4746,1376.041667,0.30,no,Reject
2364,4751,1378.188194,0.88,no,Reject
2369,4756,1382.041667,0.27,no,Reject
2370,4757,1382.188194,1.03,no,Reject
2371,4758,1383.041667,1.06,no,Reject
2379,4766,1387.041667,0.27,no,Reject
2381,4768,1389.041667,0.97,no,Reject
2391,4778,1394.041667,0.28,no,Reject
2396,4783,1397.188194,0.96,no,Reject
2400,4787,1399.188194,0.91,no,Reject
2424,4811,1413.188194,0.85,no,Reject
2445,4832,1426.041667,0.23,no,Reject
2480,4867,1446.188194,0.86,no,Reject
2484,4871,1448.188194,0.87,no,Reject
2487,4874,1450.041667,0.25,no,Reject
2501,4888,1459.041667,0.96,no,Reject
2517,4904,1468.041667,0.29,no,Reject
2543,4930,1483.041667,0.31,no,Reject
2566,4953,1496.188194,1.00,no,Reject
2583,4970,1506.041667,0.25,no,Reject
2622,5009,1529.188194,0.92,no,Reject
2633,5020,1536.041667,0.31,no,Reject
2662,5049,1552.188194,0.86,no,Reject
2671,5058,1558.041667,1.16,no,Reject
2673,5060,1559.041667,1.05,no,Reject
2677,5064,1561.041667,0.99,no,Reject
2698,5085,1573.188194,1.13,no,Reject
2735,5122,1595.041667,0.29,no,Reject
2739,5126,1597.041667,0.27,no,Reject
2745,5132,1601.041667,0.97,no,Reject
2756,5143,1607.188194,0.86,no,Reject
2769,5156,1615.041667,0.28,no,Reject
2778,5165,1620.188194,0.92,no,Reject
2791,5178,1628.041667,0.29,no,Reject
2806,5193,1636.188194,0.95,no,Reject
2810,5197,1638.188194,0.95,no,Reject
2817,5204,1643.041667,0.98,no,Reject
2835,5222,1653.041667,0.25,no,Reject
2851,5238,1663.041667,0.97,no,Reject
2861,5248,1669.041667,0.97,no,Reject
2864,5251,1670.188194,1.05,no,Reject
2914,5301,1699.188194,0.84,no,Reject
2935,5322,1712.041667,0.25,no,Reject
