id,runtime_id,arrival_day,days_taken,pending,sink_type
1261,3648,735.0416667,155.04,no,Remand
1269,3656,740.0416667,133.00,no,Remand
1276,3663,743.1881944,116.09,no,Remand
1278,3665,745.1881944,136.03,no,Remand
1283,3670,748.0416667,132.28,no,Remand
1288,3675,750.1881944,135.82,no,Remand
1297,3684,756.0416667,140.04,no,Remand
1308,3695,762.1881944,138.83,no,Remand
1315,3702,767.0416667,141.97,no,Remand
1328,3715,774.1881944,143.15,no,Remand
1351,3738,788.0416667,127.01,no,Remand
1358,3745,791.1881944,125.87,no,Remand
1359,3746,792.0416667,130.01,no,Remand
1368,3755,797.1881944,127.17,no,Remand
1376,3763,802.1881944,149.85,no,Remand
1384,3771,806.1881944,124.02,no,Remand
1388,3775,809.1881944,132.87,no,Remand
1389,3776,810.0416667,138.08,no,Remand
1396,3783,813.1881944,146.89,no,Remand
1412,3799,823.1881944,127.86,no,Remand
1418,3805,826.1881944,129.06,no,Remand
1423,3810,830.0416667,137.02,no,Remand
1448,3835,844.1881944,134.84,no,Remand
1454,3841,847.1881944,120.03,no,Remand
1463,3850,853.0416667,123.01,no,Remand
1465,3852,854.0416667,144.01,no,Remand
1481,3868,864.0416667,140.98,no,Remand
1495,3882,872.0416667,142.05,no,Remand
1520,3907,886.1881944,131.85,no,Remand
1537,3924,896.0416667,123.99,no,Remand
1546,3933,901.1881944,146.14,no,Remand
1559,3946,909.0416667,118.05,no,Remand
1577,3964,920.0416667,143.99,no,Remand
1578,3965,920.1881944,130.11,no,Remand
1589,3976,927.0416667,116.23,no,Remand
1596,3983,930.1881944,150.83,no,Remand
1599,3986,932.0416667,142.22,no,Remand
1619,4006,944.0416667,150.98,no,Remand
1620,4007,944.1881944,152.85,no,Remand
1634,4021,952.1881944,143.88,no,Remand
1642,4029,957.1881944,138.83,no,Remand
1651,4038,963.0416667,132.02,no,Remand
1677,4064,978.0416667,145.11,no,Remand
1680,4067,979.1881944,143.84,no,Remand
1685,4072,983.0416667,126.10,no,Remand
1692,4079,986.1881944,120.08,no,Remand
1699,4086,991.0416667,132.04,no,Remand
1710,4097,997.1881944,114.84,no,Remand
1729,4116,1008.041667,117.98,no,Remand
1733,4120,1011.041667,147.09,no,Remand
1734,4121,1011.188194,112.92,no,Remand
1758,4145,1025.188194,153.85,no,Remand
1766,4153,1029.188194,146.94,no,Remand
1782,4169,1039.188194,128.10,no,Remand
1784,4171,1040.188194,169.88,no,Remand
1790,4177,1043.188194,110.03,no,Remand
1792,4179,1044.188194,137.90,no,Remand
1813,4200,1057.041667,118.06,no,Remand
1814,4201,1057.188194,149.86,no,Remand
1847,4234,1077.041667,130.01,no,Remand
1853,4240,1081.041667,115.17,no,Remand
1856,4243,1082.188194,106.83,no,Remand
1859,4246,1084.041667,116.18,no,Remand
1871,4258,1091.041667,125.98,no,Remand
1891,4278,1103.041667,132.06,no,Remand
1916,4303,1117.188194,124.98,no,Remand
1941,4328,1132.041667,187.00,no,Remand
1959,4346,1142.041667,128.06,no,Remand
1961,4348,1144.041667,150.98,no,Remand
1973,4360,1151.041667,139.98,no,Remand
1978,4365,1153.188194,140.09,no,Remand
1981,4368,1155.041667,129.12,no,Remand
1982,4369,1155.188194,137.84,no,Remand
