id,runtime_id,arrival_day,days_taken,pending,sink_type
1252,3639,729.1881944,107.04,no,judgementExparte
1257,3644,733.0416667,42.09,no,judgementExparte
1260,3647,734.1881944,99.84,no,judgementExparte
1274,3661,742.1881944,82.89,no,judgementExparte
1293,3680,754.0416667,212.30,no,judgementExparte
1298,3685,756.1881944,97.88,no,judgementExparte
1333,3720,777.0416667,243.12,no,judgementExparte
1336,3723,778.1881944,264.87,no,judgementExparte
1343,3730,783.0416667,42.97,no,judgementExparte
1344,3731,783.1881944,164.86,no,judgementExparte
1346,3733,784.1881944,275.84,no,judgementExparte
1348,3735,785.1881944,40.85,no,judgementExparte
1356,3743,790.1881944,49.88,no,judgementExparte
1357,3744,791.0416667,57.11,no,judgementExparte
1369,3756,798.0416667,87.11,no,judgementExparte
1404,3791,818.1881944,244.03,no,judgementExparte
1406,3793,819.1881944,254.89,no,judgementExparte
1414,3801,824.1881944,42.85,no,judgementExparte
1415,3802,825.0416667,155.00,no,judgementExparte
1436,3823,837.1881944,152.96,no,judgementExparte
1444,3831,841.1881944,219.89,no,judgementExparte
1453,3840,847.0416667,260.02,no,judgementExparte
1470,3857,857.1881944,44.16,no,judgementExparte
1478,3865,861.1881944,97.14,no,judgementExparte
1480,3867,862.1881944,90.83,no,judgementExparte
1510,3897,880.1881944,249.93,no,judgementExparte
1513,3900,882.0416667,88.99,no,judgementExparte
1567,3954,914.0416667,239.04,no,judgementExparte
1571,3958,916.0416667,112.22,no,judgementExparte
1573,3960,917.0416667,102.02,no,judgementExparte
1580,3967,921.1881944,243.83,no,judgementExparte
1594,3981,929.1881944,103.83,no,judgementExparte
1598,3985,931.1881944,100.89,no,judgementExparte
1602,3989,934.1881944,189.92,no,judgementExparte
1629,4016,950.0416667,96.27,no,judgementExparte
1639,4026,956.0416667,132.99,no,judgementExparte
1660,4047,967.1881944,80.85,no,judgementExparte
1666,4053,971.1881944,47.83,no,judgementExparte
1675,4062,977.0416667,94.04,no,judgementExparte
1678,4065,978.1881944,82.92,no,judgementExparte
1723,4110,1005.041667,93.12,no,judgementExparte
1755,4142,1023.041667,93.04,no,judgementExparte
1756,4143,1023.188194,89.87,no,judgementExparte
1759,4146,1026.041667,97.01,no,judgementExparte
1760,4147,1026.188194,42.09,no,judgementExparte
1763,4150,1028.041667,149.01,no,judgementExparte
1764,4151,1028.188194,166.86,no,judgementExparte
1772,4159,1033.188194,250.87,no,judgementExparte
1783,4170,1040.041667,50.03,no,judgementExparte
1788,4175,1042.188194,156.14,no,judgementExparte
1797,4184,1048.041667,145.26,no,judgementExparte
1804,4191,1051.188194,179.92,no,judgementExparte
1825,4212,1064.041667,42.03,no,judgementExparte
1835,4222,1070.041667,67.01,no,judgementExparte
1839,4226,1072.041667,88.98,no,judgementExparte
1841,4228,1074.041667,94.03,no,judgementExparte
1864,4251,1086.188194,90.83,no,judgementExparte
1868,4255,1089.188194,101.94,no,judgementExparte
1894,4281,1104.188194,98.89,no,judgementExparte
1896,4283,1105.188194,46.03,no,judgementExparte
1898,4285,1106.188194,98.87,no,judgementExparte
1903,4290,1110.041667,268.03,no,judgementExparte
1908,4295,1112.188194,82.90,no,judgementExparte
1912,4299,1114.188194,148.88,no,judgementExparte
1917,4304,1118.041667,56.04,no,judgementExparte
1925,4312,1123.041667,107.99,no,judgementExparte
1934,4321,1127.188194,73.83,no,judgementExparte
1936,4323,1128.188194,96.83,no,judgementExparte
1943,4330,1133.041667,197.09,no,judgementExparte
1944,4331,1133.188194,88.85,no,judgementExparte
1949,4336,1137.041667,42.06,no,judgementExparte
1952,4339,1138.188194,229.87,no,judgementExparte
1955,4342,1140.041667,98.99,no,judgementExparte
1956,4343,1140.188194,220.93,no,judgementExparte
1963,4350,1145.041667,104.05,no,judgementExparte
1964,4351,1145.188194,81.03,no,judgementExparte
2003,4390,1168.041667,94.99,no,judgementExparte
2015,4402,1175.041667,77.97,no,judgementExparte
2031,4418,1184.041667,46.03,no,judgementExparte
2036,4423,1187.188194,282.90,no,judgementExparte
2039,4426,1189.041667,146.97,no,judgementExparte
2043,4430,1191.041667,109.12,no,judgementExparte
2044,4431,1191.188194,43.90,no,judgementExparte
2062,4449,1202.188194,86.89,no,judgementExparte
2068,4455,1205.188194,228.81,no,judgementExparte
2069,4456,1207.041667,65.98,no,judgementExparte
2073,4460,1209.041667,252.00,no,judgementExparte
2083,4470,1215.041667,268.22,no,judgementExparte
2087,4474,1217.041667,120.00,no,judgementExparte
2091,4478,1219.041667,138.01,no,judgementExparte
2108,4495,1229.188194,82.88,no,judgementExparte
2109,4496,1230.041667,153.29,no,judgementExparte
2112,4499,1231.188194,103.86,no,judgementExparte
2127,4514,1240.041667,240.98,no,judgementExparte
2128,4515,1240.188194,110.84,no,judgementExparte
2162,4549,1260.188194,45.86,no,judgementExparte
2194,4581,1279.188194,78.82,no,judgementExparte
2196,4583,1280.188194,267.84,no,judgementExparte
2197,4584,1281.041667,244.27,no,judgementExparte
2200,4587,1282.188194,102.16,no,judgementExparte
2204,4591,1285.188194,90.86,no,judgementExparte
2217,4604,1293.041667,65.06,no,judgementExparte
2223,4610,1296.041667,100.01,no,judgementExparte
2230,4617,1300.188194,102.83,no,judgementExparte
2237,4624,1305.041667,210.08,no,judgementExparte
2245,4632,1309.041667,111.96,no,judgementExparte
2279,4666,1329.041667,280.06,no,judgementExparte
2281,4668,1330.041667,108.99,no,judgementExparte
2291,4678,1336.041667,215.99,no,judgementExparte
2300,4687,1341.188194,45.96,no,judgementExparte
2335,4722,1362.041667,105.23,no,judgementExparte
2339,4726,1364.041667,207.12,no,judgementExparte
2353,4740,1372.041667,88.98,no,judgementExparte
2380,4767,1387.188194,207.16,no,judgementExparte
2387,4774,1392.041667,97.00,no,judgementExparte
2389,4776,1393.041667,107.99,no,judgementExparte
2415,4802,1408.041667,174.01,no,judgementExparte
2420,4807,1411.188194,181.02,no,judgementExparte
2463,4850,1436.041667,63.02,no,judgementExparte
2478,4865,1445.188194,97.97,no,judgementExparte
2479,4866,1446.041667,195.06,no,judgementExparte
2482,4869,1447.188194,81.86,no,judgementExparte
2492,4879,1453.188194,110.84,no,judgementExparte
2527,4914,1474.041667,223.00,no,judgementExparte
2541,4928,1482.041667,99.04,no,judgementExparte
2553,4940,1489.041667,223.03,no,judgementExparte
2562,4949,1494.188194,42.81,no,judgementExparte
2565,4952,1496.041667,58.97,no,judgementExparte
2567,4954,1497.041667,272.02,no,judgementExparte
2576,4963,1502.188194,218.87,no,judgementExparte
2587,4974,1509.041667,86.07,no,judgementExparte
2590,4977,1510.188194,35.88,no,judgementExparte
2606,4993,1519.188194,100.87,no,judgementExparte
2609,4996,1522.041667,220.99,no,judgementExparte
2611,4998,1523.041667,44.97,no,judgementExparte
2630,5017,1533.188194,40.87,no,judgementExparte
2634,5021,1536.188194,99.02,no,judgementExparte
2639,5026,1539.041667,233.02,no,judgementExparte
2643,5030,1541.041667,215.07,no,judgementExparte
2657,5044,1550.041667,277.07,no,judgementExparte
2659,5046,1551.041667,244.11,no,judgementExparte
2676,5063,1560.188194,118.88,no,judgementExparte
2707,5094,1579.041667,84.11,no,judgementExparte
2708,5095,1579.188194,42.84,no,judgementExparte
2717,5104,1585.041667,40.03,no,judgementExparte
2722,5109,1587.188194,158.89,no,judgementExparte
2728,5115,1590.188194,92.92,no,judgementExparte
2729,5116,1592.041667,232.98,no,judgementExparte
2734,5121,1594.188194,104.85,no,judgementExparte
